"HiRes SSC-A","HiRes SSC-H","HiRes SSC-W","Time"
115.7,261,29051.8,0.698574
126.1,270,30607.7,0.703788
234,313,48995,0.705873
718.9,989,47637.8,0.705873
120.9,226,35058.9,0.705873
140.4,281,32744.7,0.706916
123.5,213,37998.6,0.706916
396.5,540,48120.4,0.707958
124.8,268,30518.3,0.707958
235.3,460,33523.1,0.707958
250.9,421,39057,0.710044
156,322,31750.4,0.711086
117,232,33050.5,0.715257
110.5,245,29558.1,0.715257
126.1,241,34290.8,0.715257
133.9,269,32621.8,0.716299
231.4,369,41097.6,0.72047
369.2,456,53061.2,0.721513
154.7,272,37273.6,0.722555
91,212,28131,0.723598
123.5,257,31493,0.724641
111.8,252,29075.1,0.724641
122.2,317,25263.4,0.724641
481,698,45161.6,0.725683
118.3,265,29256.3,0.725683
179.4,263,44704,0.727769
1583.4,2158,48086.1,0.727769
132.6,253,34348.1,0.728811
361.4,560,42294.1,0.728811
276.9,468,38775.5,0.728811
301.6,466,42415.6,0.729854
299,408,48027.6,0.734024
210.6,352,39209.9,0.734024
156,251,40731.5,0.734024
198.9,314,41513.1,0.735067
79.3,223,23305,0.737152
101.4,219,30344.1,0.738195
261.3,344,49780.7,0.739238
145.6,244,39106.7,0.74028
127.4,313,26675,0.746536
309.4,389,52125.5,0.746536
1270.1,1740,47837.5,0.748622
139.1,364,25044.1,0.750707
104,252,27046.6,0.752792
156,287,35622.4,0.754877
88.4,248,23360.4,0.75592
97.5,224,28525.7,0.75592
100.1,250,26240.6,0.75592
